Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
A148,Antonov An-148,3_1764962785765,Antonov An-148,P-671,671,D-436-148,73,21000,31850,41950,33112,11900,M80,250/320/77,77/320/250,JARDesign (X-Plane) - An-148-100B [credit: KevinAviationHD]
A225,Antonov An-225,A225,Antonov An-225,UR-82060,225,D-18T,38,628317,1198211,1410957,1212541,661386,,,,Default
A225,Antonov An-225,3_1677576294832,Antonov An-225,UR-82060,225,D-18T,38,285000,543499,639999,549999,300000,,,,iniBuilds (MSFS) - An-225
BCS1,A220-100,BCS1,A220-100,N201SB,201,PW1521G,135,77650,111000,134000,115500,38565,,,,Default
BCS3,A220-300,BCS3,A220-300,N203SB,203,PW1521G-3,160,81750,123000,149000,129500,38565,,,,Default
BCS3,A220-300,347385_1783098201479,A220-300,C-SYNC,220,PW1521G-3,140,81750,115608,154000,134500,38392,M78,250/275/78,78/275/250,Synaptic / iniBuilds (MSFS) - A220-300
A306,A300B4-600,A306,A300B4-600,N306SB,306,CF6-80C2A1,274,191198,286601,363763,304238,107299,,,,Default
A306,A300B4-600,347385_1702657155316,A300B4-600,G-INIB,IB,CF6-80C2A1,256,88805,130000,170500,140000,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600R GE
A306,A300B4-600,347385_1711546435461,A300B4-600,G-INPW,PW,PW4158,256,88805,130000,170500,140000,54530,CI,250/300/78,78/300/250,iniBuilds (MSFS) - A300-600R PW
A3ST,A300F4-608ST,A3ST,A300F4-608ST,N308SB,308,CF6-80C2A8,5,198416,286601,337307,308647,109349,,,,Default
A30B,A300B4-200,A30B,A300B4-200,N302SB,302,CF6-50C2,269,195119,273373,363763,295419,107299,,,,Default
A306,A300F4-600R,A30F,A300F4-600R,N307SB,307,CF6-80C2A5,25,180880,286601,375888,308647,117958,,,,Default
